"countyId","county","megyeszekhely","lakossag","zaszlo","cimer"
"1","Budapest","-","1752286","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Flag_of_Budapest_%282011-%29.svg/40px-Flag_of_Budapest_%282011-%29.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Coa_Hungary_Town_Budapest_big.svg/250px-Coa_Hungary_Town_Budapest_big.svg.png"
"2","Bács-Kiskun","Kecskemét","503825","https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Bács-Kiskun_County.svg/40px-Flag_of_Bács-Kiskun_County.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Bacs-kiskun-megye.svg/102px-Bacs-kiskun-megye.svg.png"
"3","Baranya","Pécs","360704","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Baranya_County.svg/40px-Flag_of_Baranya_County.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/HUN_Baranya_megye_COA.png/112px-HUN_Baranya_megye_COA.png"
"4","Békés","Békéscsaba","334264","https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_B%C3%A9k%C3%A9s_megye.svg/40px-Flag_of_B%C3%A9k%C3%A9s_megye.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/COA_B%C3%A9k%C3%A9s_County.svg/112px-COA_B%C3%A9k%C3%A9s_County.svg.png"
"5","Borsod-Abaúj-Zemplén","Miskolc","642447","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/FLAG-Borsod-Aba%C3%BAj-Zempl%C3%A9n-megye.svg/40px-FLAG-Borsod-Aba%C3%BAj-Zempl%C3%A9n-megye.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Borsod-Aba%C3%BAj-Zempl%C3%A9n_departemento_blazono.svg/108px-Borsod-Aba%C3%BAj-Zempl%C3%A9n_departemento_blazono.svg.png"
"6","Csongrád","Szeged","399012","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Flag_of_Csongrad-Csanad_megye.svg/40px-Flag_of_Csongrad-Csanad_megye.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/HU_Csongr%C3%A1d_megye_COA.svg/112px-HU_Csongr%C3%A1d_megye_COA.svg.png"
"7","Fejér","Székesfehérvár","417712","https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/FLAG-Fej%C3%A9r-megye.svg/40px-FLAG-Fej%C3%A9r-megye.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Coa_Hungary_County_Fej%C3%A9r_%28history%29.svg/112px-Coa_Hungary_County_Fej%C3%A9r_%28history%29.svg.png"
"8","Győr-Moson-Sopron","Győr","467144","https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/FLAG-Gyor-Moson-Sopron-megye.svg/40px-FLAG-Gyor-Moson-Sopron-megye.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/HUN_Gy%C5%91r-Moson-Sopron_megye_COA.png/95px-HUN_Gy%C5%91r-Moson-Sopron_megye_COA.png"
"9","Hajdú-Bihar","Debrecen","527989","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/FLAG-Hajd%C3%BA-Bihar-megye.svg/40px-FLAG-Hajd%C3%BA-Bihar-megye.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/HUN_Hajd%C3%BA-Bihar_COA.svg/112px-HUN_Hajd%C3%BA-Bihar_COA.svg.png"
"10","Heves","Eger","294609","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/FLAG-Heves-megye.svg/40px-FLAG-Heves-megye.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Coa_Hungary_County_Heves.svg/112px-Coa_Hungary_County_Heves.svg.png"
"11","Jász-Nagykun-Szolnok","Szolnok","370007","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/FLAG-Jasz-Nagykun-Szolnok.svg/40px-FLAG-Jasz-Nagykun-Szolnok.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/HUN_J%C3%A1sz-Nagykun-Szolnok_megye_COA.png/112px-HUN_J%C3%A1sz-Nagykun-Szolnok_megye_COA.png"
"12","Komárom-Esztergom","Tatabánya","299207","https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/FLAG-Kom%C3%A1rom-Esztergom-megye.svg/40px-FLAG-Kom%C3%A1rom-Esztergom-megye.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/HUN_Kom%C3%A1rom-Esztergom_megye_COA.png/112px-HUN_Kom%C3%A1rom-Esztergom_megye_COA.png"
"13","Nógrád","Salgótarján","189304","https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/FLAG-Nograd.svg/40px-FLAG-Nograd.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Coa_Hungary_County_N%C3%B3gr%C3%A1d.svg/112px-Coa_Hungary_County_N%C3%B3gr%C3%A1d.svg.png"
"14","Pest","Budapest","1278874","https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/FLAG-Pest-megye.svg/40px-FLAG-Pest-megye.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/HUN_Pest_megye_COA.svg/112px-HUN_Pest_megye_COA.svg.png"
"15","Somogy","Kaposvár","301429","https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/FLAG-Somogy-megye.svg/40px-FLAG-Somogy-megye.svg.png","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/HUN_Somogy_megye_COA.svg/112px-HUN_Somogy_megye_COA.svg.png"
